num,sample1,sample2,AMT_score
35,S019C003P051R001A096,S012C002P037R002A039,0.06666666666666665
36,S027C003P085R001A101,S002C002P014R002A008,0.03333333333333336
37,S023C003P059R001A099,S019C002P008R002A100,0.2962962963333333
38,S031C003P100R001A097,S008C003P030R001A035,0.0
39,S026C003P071R001A100,S032C001P106R002A100,0.8333333333333334
40,S002C003P007R001A022,S008C001P036R002A007,0.03333333333333336
41,S008C001P033R002A048,S004C001P003R001A048,0.375
42,S031C003P099R001A080,S002C001P012R001A048,0.03333333333333336
43,S006C001P017R001A026,S003C001P015R002A009,0.0
44,S024C002P060R002A096,S031C003P100R001A096,0.6666666666666666
45,S027C003P083R001A099,S020C003P052R001A100,0.18518518533333336
46,S026C002P071R002A097,S020C001P052R001A098,0.22222222233333336
47,S001C002P006R002A026,S017C002P003R002A026,0.7272727273333334
48,S008C003P036R001A040,S008C001P031R002A040,0.9333333333333332
49,S008C002P036R002A027,S027C001P084R002A099,0.16666666666666666
50,S014C001P037R001A007,S011C002P015R002A022,0.03333333333333336
51,S032C002P105R002A097,S028C001P087R001A097,0.9393939393333333
52,S016C001P040R002A007,S002C001P012R002A007,0.8518518519999999
53,S006C002P022R002A022,S005C001P021R001A007,0.0
54,S027C001P083R001A099,S019C001P050R002A100,0.18181818166666663
55,S001C003P004R001A007,S017C001P009R002A007,0.4000000000000001
56,S030C001P095R001A095,S020C002P052R002A095,0.8333333333333334
57,S008C002P032R002A048,S002C001P013R002A035,0.8148148146666667
58,S025C003P056R001A080,S019C002P049R002A080,0.515151515
59,S002C002P012R002A007,S014C001P019R002A007,0.8333333333333334
60,S003C001P019R001A022,S005C002P010R002A022,0.6666666666666666
61,S008C001P025R002A035,S008C001P033R001A035,0.9
62,S027C001P084R002A095,S010C001P021R002A022,0.3333333333333333
63,S013C001P018R002A048,S013C001P019R001A048,0.8666666666666667
64,S011C003P016R001A007,S016C001P008R002A022,0.10000000000000002
65,S028C001P073R001A080,S030C001P076R001A080,0.7333333333333334
66,S027C002P011R002A097,S032C002P104R002A097,0.8333333333333334
67,S026C001P075R002A104,S032C001P008R001A097,0.44444444433333335
68,S001C001P006R001A035,S011C002P038R002A035,0.7999999999999999
69,S006C003P023R001A026,S007C003P016R001A026,0.9666666666666667
70,S023C002P061R002A104,S006C001P024R001A040,0.06666666666666665
71,S019C002P050R002A104,S031C003P097R001A104,0.16666666666666666
72,S011C001P002R001A022,S004C001P020R002A022,0.9696969696666667
73,S023C002P056R002A098,S031C001P100R001A097,0.22222222233333336
74,S002C003P014R001A039,S008C002P033R002A048,0.0
75,S008C001P029R001A040,S027C001P085R002A096,0.3
76,S015C001P019R002A023,S008C001P029R002A007,0.0
77,S008C003P035R001A008,S008C002P029R002A008,0.8666666666666667
78,S027C002P080R002A102,S008C002P031R002A026,0.06666666666666665
79,S014C001P039R001A007,S007C003P016R001A023,0.16666666666666666
80,S014C003P025R001A007,S011C003P016R001A007,0.8333333333333334
81,S030C001P095R001A102,S025C001P056R001A102,1.0
82,S031C001P097R001A101,S031C001P100R001A101,0.7666666666666666
83,S008C001P032R002A008,S008C002P029R002A008,0.8181818183333333
84,S008C002P033R002A009,S003C002P015R002A009,0.9
85,S011C001P018R002A022,S001C001P004R002A022,0.5333333333333333
86,S006C003P022R001A035,S008C001P034R001A048,0.10000000000000002
87,S007C002P018R002A026,S014C001P037R001A009,0.0
88,S027C003P083R001A101,S028C003P087R001A101,0.7407407406666667
89,S028C001P073R002A104,S032C002P104R002A097,0.16666666666666666
90,S026C001P050R002A080,S021C002P060R002A080,0.6333333333333333
91,S004C002P020R002A039,S008C002P032R002A039,0.8666666666666667
92,S027C001P083R001A099,S027C002P086R002A099,0.8787878786666666
93,S030C001P092R002A080,S009C001P017R002A008,0.10000000000000002
94,S006C002P023R002A008,S006C001P024R001A008,1.0
95,S007C003P018R001A039,S010C001P008R002A040,0.20000000000000004
96,S032C002P102R002A102,S007C002P018R002A026,0.07407407400000003
97,S001C002P006R002A026,S002C002P011R002A009,0.03030303033333337
98,S027C002P082R002A100,S013C002P037R002A027,0.03333333333333336
99,S021C003P059R001A096,S032C002P102R002A098,0.06666666666666665
100,S011C003P038R001A040,S014C001P025R001A007,0.07407407400000003
101,S008C003P029R001A009,S012C001P008R001A009,0.8181818183333333
102,S002C001P011R002A023,S006C003P023R001A023,0.9444444443333334
103,S002C001P011R002A022,S010C002P021R002A022,0.5666666666666668
104,S027C001P084R001A098,S008C002P031R002A040,0.16666666666666666
105,S027C002P084R002A096,S030C001P092R001A096,0.4000000000000001
106,S023C002P066R002A080,S029C002P080R002A080,0.7777777776666667
107,S001C003P007R001A040,S008C002P033R002A007,0.0
108,S006C003P022R001A009,S006C003P017R001A026,0.0
109,S007C001P018R002A026,S030C002P096R002A099,0.22222222233333336
110,S016C001P040R002A023,S002C001P013R001A023,0.6666666666666666
111,S001C001P003R002A040,S008C001P034R002A039,0.20000000000000004
112,S031C001P097R001A101,S027C003P083R001A101,0.9666666666666667
113,S011C003P001R001A009,S008C001P029R002A027,0.10000000000000002
114,S029C002P080R002A080,S006C001P023R002A035,0.07407407400000003
115,S005C003P021R001A007,S002C001P013R001A022,0.0
116,S016C001P039R002A027,S008C001P029R002A027,0.8333333333333334
117,S029C003P080R001A099,S027C002P079R002A099,0.7333333333333334
118,S006C002P008R002A026,S010C001P021R002A026,0.7575757576666667
119,S012C001P008R001A009,S008C001P031R002A026,0.0
120,S008C002P035R002A035,S008C001P035R002A035,1.0
121,S012C002P028R002A022,S013C001P027R002A007,0.0
122,S032C001P105R001A100,S006C001P022R002A026,0.3333333333333333
123,S004C003P003R001A035,S008C001P035R002A035,0.9166666666666666
124,S008C001P033R002A007,S001C001P005R002A007,0.8666666666666667
125,S027C001P080R002A096,S002C003P014R001A039,0.03333333333333336
126,S002C003P013R001A039,S016C001P040R001A040,0.11111111099999997
127,S029C003P080R001A104,S020C001P053R001A104,0.22222222233333336
128,S006C002P001R002A040,S008C003P034R001A040,0.8666666666666667
129,S010C001P013R002A040,S002C001P010R002A040,0.8148148146666667
130,S032C001P044R002A101,S003C002P002R002A035,0.10000000000000002
131,S001C001P006R001A007,S002C003P014R001A023,0.03333333333333336
132,S021C001P058R002A099,S019C002P008R002A100,0.2592592593333333
133,S006C003P023R001A039,S001C001P004R001A039,0.9333333333333332
134,S031C003P043R001A100,S006C002P022R002A027,0.1333333333333333
135,S030C003P095R001A098,S025C001P068R002A098,0.8484848483333334
136,S027C001P081R002A097,S016C001P040R001A022,0.07407407400000003
137,S005C003P018R001A008,S002C002P011R002A035,0.03333333333333336
138,S007C002P025R002A009,S025C003P056R001A080,0.03333333333333336
139,S027C003P084R001A101,S029C001P080R002A101,0.8787878786666666
140,S020C003P052R001A096,S031C001P051R002A098,0.16666666666666666
141,S011C003P001R001A009,S008C002P035R002A048,0.1333333333333333
142,S014C001P008R001A035,S013C003P008R001A008,0.0
143,S006C003P024R001A008,S009C002P019R002A035,0.10000000000000002
144,S010C003P008R001A039,S008C001P033R001A039,0.909090909
145,S012C001P037R002A039,S006C003P023R001A039,0.8484848483333334
146,S003C001P002R001A048,S016C001P040R001A048,1.0
147,S011C001P038R001A039,S028C001P087R001A096,0.10000000000000002
148,S027C001P084R001A101,S028C001P087R001A101,0.8181818183333333
149,S002C001P012R002A040,S006C001P024R001A040,0.9666666666666667
150,S008C001P029R002A048,S003C001P002R001A048,0.7000000000000001
151,S011C001P038R001A039,S008C002P032R002A039,0.7777777776666667
152,S008C001P036R001A026,S002C001P014R001A009,0.03333333333333336
153,S005C003P021R001A007,S008C002P015R002A007,0.8181818183333333
154,S006C003P022R001A039,S008C001P035R002A048,0.0
155,S008C002P036R002A009,S010C001P013R002A009,0.8787878786666666
156,S031C003P006R001A104,S023C002P061R002A104,0.5666666666666668
157,S016C002P040R002A026,S003C002P002R002A026,0.9
158,S013C003P027R001A027,S027C001P084R002A100,0.10000000000000002
159,S012C001P027R002A009,S012C001P008R001A027,0.0
160,S027C001P086R001A104,S012C002P016R002A040,0.10000000000000002
161,S028C003P043R001A096,S031C003P097R001A096,0.7666666666666666
162,S011C001P015R002A022,S026C002P072R002A104,0.3333333333333333
163,S031C001P097R001A098,S008C002P031R002A040,0.18518518533333336
164,S030C003P095R001A095,S010C001P025R002A022,0.37037037033333337
165,S016C001P040R002A007,S017C001P003R002A007,0.7037037036666667
166,S001C001P006R001A039,S008C002P029R002A039,0.925925926
167,S023C001P058R002A104,S001C001P004R002A040,0.3666666666666667
168,S008C003P035R001A008,S008C002P033R002A008,0.9666666666666667
169,S021C002P058R002A099,S025C002P055R002A099,0.75
170,S029C003P051R001A097,S026C003P050R001A098,0.3666666666666667
171,S010C001P025R002A027,S001C002P003R002A027,0.8333333333333334
172,S021C003P060R001A098,S006C001P023R001A040,0.10000000000000002
173,S015C002P016R002A027,S030C003P095R001A099,0.16666666666666666
174,S010C001P008R001A023,S011C001P016R001A007,0.12121212133333333
175,S024C003P064R001A095,S012C002P028R002A040,0.06666666666666665
176,S002C002P012R002A009,S001C001P006R002A027,0.03333333333333336
177,S026C002P076R002A098,S030C001P096R001A096,0.06666666666666665
178,S008C001P034R002A022,S030C001P095R002A104,0.3
179,S006C001P024R002A035,S008C001P030R001A035,0.8666666666666667
180,S028C001P073R001A080,S008C001P030R002A048,0.03333333333333336
181,S008C002P031R002A048,S013C001P028R002A035,0.2592592593333333
182,S013C001P027R001A026,S008C001P034R001A009,0.0
183,S026C003P050R001A097,S006C003P024R001A022,0.26666666666666666
184,S016C003P039R001A035,S010C002P017R002A048,0.4166666666666667
185,S027C001P083R001A097,S032C003P008R001A097,0.8666666666666667
186,S026C001P050R001A102,S028C003P008R001A101,0.0
187,S014C003P039R001A007,S001C001P004R002A022,0.0
188,S029C002P080R002A080,S016C003P040R001A008,0.18518518533333336
189,S011C002P038R002A008,S011C001P038R002A008,1.0
190,S028C002P073R002A102,S026C001P072R002A101,0.06666666666666665
191,S030C003P088R001A080,S013C003P027R001A035,0.06666666666666665
192,S023C002P066R002A080,S004C002P020R002A035,0.03333333333333336
193,S001C003P004R001A007,S006C001P024R001A007,0.18518518533333336
194,S021C003P060R001A104,S027C001P079R002A104,0.5555555556666666
195,S031C003P006R001A098,S015C001P025R002A040,0.06666666666666665
196,S004C003P003R001A035,S002C001P011R002A035,0.787878788
197,S008C002P033R002A008,S008C001P029R001A035,0.2592592593333333
198,S021C001P056R001A095,S008C002P033R002A040,0.06060606066666666
199,S001C001P006R002A027,S030C002P096R002A099,0.12121212133333333
200,S017C001P020R001A009,S001C002P006R002A009,0.9333333333333332
201,S032C003P106R001A080,S027C001P011R002A080,0.3
202,S028C001P043R002A101,S006C001P024R001A048,0.02777777766666663
203,S008C003P029R001A009,S006C003P022R001A009,0.7000000000000001
204,S010C002P025R002A027,S008C003P031R001A027,0.8518518519999999
205,S026C002P072R002A100,S016C002P039R002A026,0.06666666666666665
206,S030C001P092R002A080,S016C001P025R001A048,0.09090909100000004
207,S002C002P003R002A008,S008C002P029R002A048,0.0
208,S020C001P052R002A101,S021C001P056R002A097,0.0
209,S023C002P059R002A102,S026C002P072R002A102,1.0
210,S030C001P092R001A096,S021C002P059R002A100,0.0
211,S027C001P084R001A098,S030C003P095R001A098,0.8666666666666667
212,S008C001P029R001A023,S002C003P013R001A023,0.9
213,S030C001P095R002A097,S021C001P056R002A097,0.9333333333333332
214,S016C001P040R002A007,S011C001P015R002A022,0.07407407400000003
215,S023C001P059R001A099,S002C003P012R001A026,0.1333333333333333
216,S007C003P016R001A026,S001C001P005R001A009,0.03333333333333336
217,S027C001P083R001A100,S030C002P011R002A099,0.4000000000000001
218,S029C001P080R001A097,S008C002P036R002A022,0.26666666666666666
219,S006C001P024R001A009,S002C001P011R002A009,0.8666666666666667
220,S028C001P087R001A098,S032C001P043R002A098,0.8333333333333334
221,S031C001P097R002A100,S002C001P012R001A026,0.16666666666666666
222,S005C002P010R002A008,S023C001P068R002A080,0.48484848499999994
223,S002C002P014R002A007,S008C001P036R002A007,0.7000000000000001
224,S030C001P095R002A097,S028C001P073R001A097,0.9393939393333333
225,S008C001P035R001A040,S001C001P007R001A040,0.9333333333333332
226,S014C001P007R001A007,S011C002P038R002A007,0.7333333333333334
227,S006C001P001R002A040,S002C001P014R001A040,0.9333333333333332
228,S013C001P027R001A026,S006C001P017R001A026,0.8666666666666667
229,S001C001P005R001A048,S016C001P025R001A048,0.3333333333333333
230,S023C003P066R001A101,S008C003P034R001A008,0.03333333333333336
231,S004C001P020R002A035,S008C001P033R001A035,0.9333333333333332
232,S026C001P050R001A102,S026C001P071R002A095,0.0
233,S013C002P027R002A007,S011C002P002R002A023,0.10000000000000002
234,S002C001P013R002A035,S008C002P033R002A008,0.037037037000000016
235,S008C002P033R002A009,S002C001P011R002A048,0.0
236,S032C001P106R001A096,S025C003P058R001A100,0.041666666666666664
237,S003C003P002R001A039,S013C003P015R001A048,0.0
238,S031C001P097R001A101,S004C003P020R001A008,0.0
239,S016C001P025R002A026,S008C002P035R002A026,0.9333333333333332
240,S016C003P040R001A009,S006C001P022R002A027,0.0
241,S008C003P034R001A027,S028C003P046R001A099,0.16666666666666666
242,S030C002P095R002A104,S015C002P025R002A040,0.0
243,S008C001P029R001A022,S002C001P013R001A022,0.515151515
244,S027C001P081R001A095,S027C001P083R001A104,0.8333333333333334
245,S002C001P014R001A035,S030C001P095R002A080,0.06666666666666665
246,S031C001P051R002A099,S031C001P100R001A099,0.9333333333333332
247,S002C002P011R002A023,S002C003P013R001A023,0.7999999999999999
248,S016C003P040R001A040,S027C002P011R002A096,0.22222222233333336
249,S003C001P018R001A027,S006C002P022R002A027,0.8333333333333334
250,S010C001P013R002A009,S012C001P019R002A027,0.06666666666666665
251,S031C001P099R001A080,S005C002P016R002A048,0.07407407400000003
252,S001C002P006R002A023,S004C003P003R001A023,0.7666666666666666
253,S002C003P014R001A035,S012C003P037R001A035,0.6
254,S032C001P105R002A097,S017C001P009R002A022,0.10000000000000002
255,S006C001P023R002A008,S006C003P024R001A048,0.06666666666666665
256,S017C001P003R001A039,S002C002P012R002A039,0.8666666666666667
257,S024C003P061R001A100,S030C002P096R002A100,0.9666666666666667
258,S027C001P081R002A080,S023C003P061R001A080,0.7000000000000001
259,S027C003P086R001A080,S002C002P010R002A048,0.03333333333333336
260,S026C001P071R002A080,S005C002P016R002A048,0.03333333333333336
261,S001C001P006R001A040,S011C001P038R001A040,0.7666666666666666
262,S002C001P012R001A048,S003C003P002R001A048,0.5666666666666668
263,S032C001P105R002A104,S012C001P028R002A040,0.06060606066666666
264,S008C001P029R001A009,S008C001P036R001A048,0.06666666666666665
265,S013C001P027R001A026,S012C001P019R002A027,0.1333333333333333
266,S009C003P007R001A026,S027C001P083R001A099,0.03333333333333336
267,S027C002P011R002A098,S024C001P064R001A097,0.2333333333333333
268,S010C001P013R002A009,S013C003P037R001A048,0.0
269,S011C002P002R002A023,S011C001P038R002A007,0.1515151516666667
270,S026C001P071R001A098,S020C003P052R001A096,0.10000000000000002
271,S008C003P032R001A027,S002C003P013R001A027,0.8333333333333334
272,S028C001P073R001A080,S001C002P004R002A035,0.10000000000000002
273,S008C002P035R002A009,S001C002P004R002A027,0.3333333333333333
274,S004C003P003R001A048,S013C001P019R001A048,0.3333333333333333
275,S020C003P052R001A100,S020C001P053R001A100,0.6666666666666666
276,S008C003P032R001A027,S025C001P055R002A099,0.10000000000000002
277,S019C003P046R001A101,S030C001P095R001A101,0.9666666666666667
278,S008C003P031R001A035,S008C001P035R002A035,0.9
279,S026C002P072R002A101,S023C002P055R002A101,0.9666666666666667
280,S025C002P055R002A099,S018C003P043R001A099,0.8333333333333334
281,S011C001P028R002A048,S011C002P028R002A048,1.0
282,S021C001P060R001A104,S025C002P066R002A104,0.5333333333333333
283,S014C002P039R002A023,S013C001P037R001A023,0.7999999999999999
284,S002C001P011R001A008,S027C001P011R002A080,0.16666666666666666
285,S013C001P019R001A048,S008C002P025R002A035,0.4666666666666666
286,S005C003P021R001A040,S001C001P005R001A040,0.8518518519999999
287,S022C002P064R002A098,S029C003P051R001A097,0.3333333333333333
288,S006C003P001R001A008,S016C001P039R001A035,0.2962962963333333
289,S014C002P037R002A026,S007C001P028R002A009,0.03333333333333336
290,S028C002P073R002A104,S023C002P068R002A104,0.16666666666666666
291,S019C001P046R001A101,S026C001P049R002A101,0.7999999999999999
292,S016C003P040R001A040,S020C001P052R001A096,0.14814814799999998
293,S027C001P085R002A102,S023C003P066R001A102,0.6666666666666666
294,S008C001P032R002A048,S003C003P002R001A048,0.6
295,S008C003P031R001A009,S006C001P023R001A026,0.0
296,S023C002P055R002A101,S002C001P013R002A035,0.03333333333333336
297,S008C002P030R002A048,S006C001P023R001A039,0.0
298,S005C001P010R002A023,S032C002P105R002A104,0.07407407400000003
299,S008C001P033R002A048,S004C003P003R001A048,0.4333333333333333
300,S023C003P066R001A097,S032C001P104R002A097,0.8666666666666667
301,S002C001P013R001A022,S008C001P033R001A022,0.7037037036666667
302,S030C003P092R001A097,S032C003P105R001A098,0.3333333333333333
303,S008C002P031R002A040,S011C001P002R002A040,0.962962963
304,S031C002P100R002A080,S002C001P011R002A048,0.02777777766666663
305,S008C003P032R001A027,S026C002P072R002A099,0.4000000000000001
306,S032C001P106R002A098,S023C001P056R002A098,0.8666666666666667
307,S006C003P023R001A023,S001C002P005R002A023,0.787878788
308,S012C003P008R001A027,S007C001P015R002A027,0.8484848483333334
309,S026C001P049R002A101,S014C002P037R002A008,0.0
310,S008C003P031R001A027,S006C001P024R001A026,0.16666666666666666
311,S011C001P028R001A023,S008C001P036R002A007,0.16666666666666666
312,S031C002P006R002A080,S010C002P021R002A008,0.22222222233333336
313,S001C003P006R001A007,S002C001P013R001A023,0.2333333333333333
314,S023C003P066R001A097,S032C001P105R002A104,0.4333333333333333
315,S003C001P019R001A022,S006C001P022R002A022,0.8787878786666666
316,S030C003P088R001A080,S001C001P002R001A008,0.3333333333333333
317,S006C002P023R002A022,S004C001P020R002A022,0.5
318,S024C003P061R001A100,S020C001P053R001A100,0.9666666666666667
319,S008C002P001R002A035,S008C002P033R002A048,0.4333333333333333
320,S026C001P071R001A104,S019C002P050R002A095,0.2592592593333333
321,S008C003P036R001A023,S011C001P015R002A022,0.10000000000000002
322,S005C002P004R002A048,S013C001P018R002A048,0.6363636363333334
323,S002C001P011R002A023,S008C002P015R002A007,0.08333333333333333
324,S001C001P004R001A039,S024C001P060R002A096,0.10000000000000002
325,S031C002P051R002A099,S016C002P040R002A026,0.16666666666666666
326,S011C001P028R001A007,S008C001P015R002A007,0.9393939393333333
327,S025C002P055R002A099,S028C001P073R001A100,0.1333333333333333
328,S022C002P064R002A102,S030C003P092R001A101,0.03333333333333336
329,S005C003P021R001A040,S005C003P018R001A007,0.0
330,S030C002P092R002A080,S027C002P011R002A080,0.7407407406666667
331,S032C002P043R002A098,S027C003P083R001A098,0.962962963
332,S008C002P033R002A040,S017C002P003R002A007,0.03333333333333336
333,S002C001P012R001A048,S016C001P021R002A039,0.0
334,S001C002P006R002A048,S008C001P031R002A039,0.0
335,S008C001P036R001A023,S015C001P019R002A023,0.6333333333333333
336,S030C002P095R002A080,S008C003P030R001A035,0.06666666666666665
337,S028C003P087R001A097,S023C002P055R002A098,0.3
338,S025C001P068R001A097,S026C001P076R002A098,0.10000000000000002
339,S030C001P092R001A097,S027C001P086R002A098,0.5
340,S031C003P099R001A104,S029C003P080R001A104,0.03333333333333336
341,S032C001P106R001A099,S031C001P051R002A099,0.8666666666666667
342,S002C001P011R002A026,S011C001P038R002A026,1.0
343,S008C003P001R001A026,S007C003P016R001A026,0.9333333333333332
344,S030C001P095R001A100,S030C003P095R001A099,0.26666666666666666
345,S023C001P055R002A101,S027C003P084R001A101,0.9333333333333332
346,S008C001P030R001A026,S008C003P030R001A026,0.9666666666666667
347,S012C003P037R001A035,S001C002P005R002A035,0.696969697
348,S005C001P010R002A009,S010C001P013R002A009,0.8333333333333334
349,S007C001P016R001A023,S014C001P037R001A007,0.22222222233333336
350,S001C001P004R002A027,S001C002P004R002A027,1.0
351,S031C001P082R002A098,S031C002P051R002A098,0.9333333333333332
352,S031C002P051R002A098,S026C002P076R002A098,1.0
353,S007C002P007R002A048,S004C003P003R001A035,0.3
354,S007C003P016R001A023,S019C001P050R002A104,0.1333333333333333
355,S005C003P018R001A008,S002C002P011R002A048,0.0
356,S021C003P059R001A095,S008C003P036R001A040,0.041666666666666664
357,S001C002P004R002A023,S011C003P028R001A023,0.8666666666666667
358,S019C002P050R002A100,S029C003P006R001A099,0.1333333333333333
359,S006C002P022R002A008,S008C001P032R002A008,0.9
360,S026C003P008R001A098,S020C003P053R001A097,0.10000000000000002
361,S016C002P039R002A026,S002C001P009R002A026,0.8666666666666667
362,S019C003P051R001A096,S026C002P076R002A098,0.06666666666666665
363,S030C001P095R002A097,S029C002P080R002A098,0.4545454546666667
364,S026C003P071R001A100,S017C001P003R002A026,0.08333333333333333
365,S025C002P055R002A099,S016C001P040R002A027,0.10000000000000002
366,S008C002P029R002A008,S007C002P007R002A048,0.06666666666666665
367,S001C002P006R002A027,S016C001P021R001A027,0.6666666666666666
368,S021C001P060R002A080,S002C001P003R002A008,0.2333333333333333
369,S028C003P046R001A099,S007C001P015R002A027,0.10000000000000002
370,S002C001P011R002A048,S008C001P032R002A048,0.6296296296666667
371,S001C002P006R002A048,S013C001P028R002A035,0.6666666666666666
372,S005C002P010R002A009,S005C001P010R002A009,1.0
373,S008C003P033R001A022,S019C002P050R002A104,0.12121212133333333
374,S002C001P014R002A008,S007C001P026R002A008,0.925925926
375,S016C003P025R001A048,S002C001P012R001A048,0.787878788
376,S002C001P014R001A039,S010C003P021R001A048,0.20000000000000004
377,S007C001P028R001A026,S005C001P004R001A026,0.925925926
378,S017C003P003R001A039,S013C001P037R001A048,0.2592592593333333
379,S032C001P044R001A097,S025C001P059R001A104,0.4000000000000001
380,S005C002P010R002A023,S023C001P064R002A104,0.10000000000000002
381,S007C001P028R001A026,S009C003P017R001A027,0.1333333333333333
382,S031C001P051R002A099,S002C002P011R002A027,0.06666666666666665
383,S031C002P085R002A099,S020C003P052R001A100,0.22222222233333336
384,S024C003P061R001A100,S016C003P021R001A027,0.09090909100000004
385,S015C003P015R001A040,S008C001P001R002A007,0.0
386,S026C002P072R002A100,S002C002P009R002A026,0.2727272726666667
387,S008C003P031R001A009,S017C002P007R002A009,1.0
388,S018C003P008R001A095,S029C001P080R001A104,0.3
389,S008C001P007R001A039,S008C002P029R002A039,1.0
390,S004C002P020R002A035,S013C003P015R001A048,0.4666666666666666
391,S008C002P030R002A027,S003C001P002R001A027,0.9666666666666667
392,S002C003P013R001A023,S012C001P028R002A022,0.1333333333333333
393,S028C001P073R001A080,S008C003P034R001A008,0.20000000000000004
394,S002C002P010R002A040,S008C003P007R001A039,0.1333333333333333
395,S023C003P059R001A099,S027C002P084R002A099,0.9393939393333333
396,S008C001P029R001A022,S011C001P018R002A022,0.2424242423333333
397,S026C001P071R001A096,S029C001P006R002A096,1.0
398,S027C003P083R001A080,S001C001P002R001A008,0.36363636366666663
399,S012C003P008R001A009,S016C003P021R001A009,0.9333333333333332
400,S030C001P095R001A098,S027C002P086R002A098,0.9
401,S032C001P105R001A101,S002C002P003R002A008,0.03333333333333336
402,S022C003P061R001A101,S028C001P043R002A101,0.7333333333333334
403,S031C001P097R002A100,S032C002P105R002A099,0.3
404,S021C003P058R001A098,S021C001P058R001A098,0.9666666666666667
405,S011C001P038R001A039,S002C003P012R001A026,0.0
406,S015C001P019R002A023,S007C002P027R002A023,0.4333333333333333
407,S027C003P083R001A098,S027C001P086R002A098,0.8333333333333334
408,S032C001P105R001A100,S021C002P058R002A099,0.3
409,S002C003P013R001A039,S002C002P012R002A039,0.9333333333333332
410,S020C003P052R001A100,S002C001P014R002A027,0.06666666666666665
411,S016C002P039R002A026,S006C001P023R001A027,0.20000000000000004
412,S006C003P023R001A027,S019C002P008R002A100,0.06666666666666665
413,S010C002P013R002A026,S001C001P005R002A026,0.7777777776666667
414,S010C003P021R001A048,S008C001P035R002A048,0.7333333333333334
415,S008C001P031R001A007,S011C003P028R001A007,0.962962963
416,S014C002P039R002A023,S006C001P022R002A022,0.06666666666666665
417,S030C001P044R002A102,S030C002P044R002A102,1.0
418,S031C001P096R001A080,S026C001P050R002A080,0.48484848499999994
419,S027C001P083R001A100,S025C002P066R002A099,0.16666666666666666
420,S001C002P004R002A035,S001C003P005R001A048,0.3333333333333333
421,S027C001P079R001A096,S003C003P017R001A039,0.12121212133333333
422,S001C003P008R001A048,S008C003P036R001A048,0.3055555556666667
423,S019C003P051R001A100,S027C002P084R002A100,0.8333333333333334
424,S008C002P033R002A007,S019C003P046R001A095,0.08333333333333333
425,S017C002P003R002A007,S004C001P003R001A023,0.10000000000000002
426,S007C002P018R002A035,S030C002P095R002A080,0.11111111099999997
427,S008C001P033R002A007,S015C002P019R002A023,0.10000000000000002
428,S026C002P050R002A101,S013C001P008R001A008,0.03333333333333336
429,S031C001P097R001A101,S027C002P081R002A101,0.7999999999999999
430,S008C001P036R001A040,S004C001P020R002A039,0.22222222233333336
431,S013C001P018R002A048,S017C001P020R001A048,0.8333333333333334
432,S028C003P073R001A095,S008C001P032R001A022,0.3333333333333333
433,S032C001P102R002A096,S024C001P060R002A096,0.696969697
434,S008C003P030R001A039,S013C002P019R002A039,0.9696969696666667
435,S021C002P060R002A080,S006C001P023R002A008,0.3
436,S010C003P008R001A039,S017C003P020R001A048,0.0
437,S010C001P025R002A027,S027C002P084R002A100,0.0
